YEAR,STATE,SMOKE_EVERYDAY,SMOKE_SOME_DAYS,FORMER_SMOKER,NEVER_SMOKED,LOCATION_1
2001,Florida,0.175,0.049,0.275,0.501,"Florida
(28.932039999846268, -81.9289599999039)"
2004,Missouri,0.185,0.055999999999999994,0.242,0.517,"Missouri
(38.63578999960896, -92.5663000000448)"
2007,North Carolina,0.17600000000000002,0.053,0.248,0.523,"North Carolina
(35.46624999963797, -79.1593199999179)"
2010,Louisiana,0.159,0.062,0.22,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
1999,Utah,0.10300000000000001,0.037000000000000005,0.17300000000000001,0.688,"Utah
(39.36070000030492, -111.58712999994941)"
2001,Hawaii,0.165,0.04,0.24,0.555,"Hawaii
(21.304850000427336, -157.85774999956269)"
2008,Montana,0.138,0.047,0.268,0.547,"Montana
(47.06653000015956, -109.42441999998289)"
2001,Vermont,0.16899999999999998,0.055,0.3,0.47600000000000003,"Vermont
(43.625379999687425, -72.51764000028561)"
2000,Georgia,0.184,0.051,0.22699999999999998,0.5379999999999999,"Georgia
(32.83967999993223, -83.62758000031658)"
2004,Virginia,0.159,0.05,0.233,0.5579999999999999,"Virginia
(37.54268000028196, -78.45789000012326)"
2004,Nebraska,0.149,0.054000000000000006,0.212,0.586,"Nebraska
(41.6410400000961, -99.36572999973953)"
2009,Massachusetts,0.109,0.04,0.285,0.5660000000000001,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2002,Alabama,0.192,0.052000000000000005,0.23199999999999998,0.524,"Alabama
(32.840569999605975, -86.63186000013877)"
1995,Mississippi,0.205,0.027999999999999997,0.20800000000000002,0.5579999999999999,"Mississippi
(32.7455100000866, -89.53803000008429)"
2010,California,0.075,0.046,0.231,0.648,"California
(37.638300000444815, -120.99958999997835)"
1996,Iowa,0.196,0.04,0.23800000000000002,0.526,"Iowa
(42.469390000048634, -93.81649000001335)"
2002,Idaho,0.163,0.043,0.242,0.552,"Idaho
(43.682590000228515, -114.36368000023168)"
2007,Nevada,0.161,0.053,0.254,0.531,"Nevada
(39.49323999972637, -117.07183999971608)"
2010,Kansas,0.11900000000000001,0.051,0.242,0.588,"Kansas
(38.34774000000118, -98.20077999969709)"
2008,Nebraska,0.134,0.049,0.25,0.5660000000000001,"Nebraska
(41.6410400000961, -99.36572999973953)"
1998,Missouri,0.223,0.04,0.237,0.5,"Missouri
(38.63578999960896, -92.5663000000448)"
2001,Rhode Island,0.17600000000000002,0.063,0.289,0.473,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1995,New Hampshire,0.188,0.023,0.327,0.462,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2002,New Mexico,0.15,0.062,0.26,0.528,"New Mexico
(34.52088000011207, -106.24057999976702)"
2000,North Carolina,0.207,0.054000000000000006,0.243,0.496,"North Carolina
(35.46624999963797, -79.1593199999179)"
2002,Connecticut,0.14400000000000002,0.05,0.304,0.502,"Connecticut
(41.56265999995918, -72.6498400002157)"
1998,New Mexico,0.162,0.064,0.243,0.532,"New Mexico
(34.52088000011207, -106.24057999976702)"
2009,Maryland,0.10400000000000001,0.048,0.23399999999999999,0.615,"Maryland
(39.29057999976732, -76.6092600004485)"
2005,Mississippi,0.18600000000000003,0.051,0.209,0.555,"Mississippi
(32.7455100000866, -89.53803000008429)"
2005,Minnesota,0.149,0.051,0.287,0.512,"Minnesota
(46.3556499998478, -94.79419999982997)"
1998,Alabama,0.19399999999999998,0.052000000000000005,0.215,0.539,"Alabama
(32.840569999605975, -86.63186000013877)"
1996,Virginia,0.196,0.052000000000000005,0.22899999999999998,0.523,"Virginia
(37.54268000028196, -78.45789000012326)"
2001,Montana,0.166,0.054000000000000006,0.273,0.508,"Montana
(47.06653000015956, -109.42441999998289)"
1996,North Carolina,0.21899999999999997,0.038,0.231,0.512,"North Carolina
(35.46624999963797, -79.1593199999179)"
1995,Iowa,0.20199999999999999,0.028999999999999998,0.239,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
2006,Ohio,0.168,0.055999999999999994,0.243,0.5329999999999999,"Ohio
(40.06020999969189, -82.40426000019869)"
2006,Montana,0.133,0.055999999999999994,0.268,0.5429999999999999,"Montana
(47.06653000015956, -109.42441999998289)"
1999,Idaho,0.16,0.055,0.243,0.542,"Idaho
(43.682590000228515, -114.36368000023168)"
2008,Vermont,0.122,0.046,0.322,0.511,"Vermont
(43.625379999687425, -72.51764000028561)"
1996,New Jersey,0.17800000000000002,0.049,0.247,0.526,"New Jersey
(40.13056999960594, -74.2736899996936)"
1997,Texas,0.162,0.063,0.203,0.5710000000000001,"Texas
(31.82724000022597, -99.42676999973554)"
1998,Arkansas,0.222,0.037000000000000005,0.242,0.499,"Arkansas
(34.748649999697875, -92.27448999971358)"
2002,Washington,0.16399999999999998,0.05,0.285,0.501,"Washington
(47.522280000022135, -120.47001000026114)"
2002,Alaska,0.21899999999999997,0.07400000000000001,0.256,0.45,"Alaska
(64.84507999974238, -147.72205999986895)"
2009,Mississippi,0.171,0.063,0.221,0.546,"Mississippi
(32.7455100000866, -89.53803000008429)"
2000,California,0.121,0.051,0.26,0.5670000000000001,"California
(37.638300000444815, -120.99958999997835)"
2004,Michigan,0.172,0.061,0.252,0.516,"Michigan
(44.661320000317914, -84.71438999959867)"
2010,Massachusetts,0.102,0.039,0.293,0.5660000000000001,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2001,Colorado,0.154,0.069,0.26,0.517,"Colorado
(38.842890000173554, -106.13314000041055)"
2007,North Dakota,0.151,0.059000000000000004,0.253,0.5379999999999999,"North Dakota
(47.475320000018144, -100.11841999998285)"
2008,Missouri,0.20199999999999999,0.048,0.25,0.501,"Missouri
(38.63578999960896, -92.5663000000448)"
2000,Kansas,0.16899999999999998,0.042,0.23600000000000002,0.5539999999999999,"Kansas
(38.34774000000118, -98.20077999969709)"
2000,Tennessee,0.21600000000000003,0.04,0.222,0.521,"Tennessee
(35.68094000038087, -85.77449000011325)"
2001,Arkansas,0.201,0.054000000000000006,0.23600000000000002,0.508,"Arkansas
(34.748649999697875, -92.27448999971358)"
2005,New Mexico,0.146,0.069,0.244,0.541,"New Mexico
(34.52088000011207, -106.24057999976702)"
2009,Georgia,0.126,0.051,0.22,0.603,"Georgia
(32.83967999993223, -83.62758000031658)"
2002,Arizona,0.17800000000000002,0.055999999999999994,0.244,0.522,"Arizona
(34.86596999961597, -111.76380999973156)"
1995,Kansas,0.18600000000000003,0.03,0.243,0.541,"Kansas
(38.34774000000118, -98.20077999969709)"
2001,Washington,0.16399999999999998,0.06,0.276,0.499,"Washington
(47.522280000022135, -120.47001000026114)"
2001,Illinois,0.174,0.063,0.237,0.525,"Illinois
(40.485010000411364, -88.99770999971656)"
2001,Missouri,0.2,0.059000000000000004,0.245,0.496,"Missouri
(38.63578999960896, -92.5663000000448)"
2009,Oklahoma,0.188,0.067,0.245,0.5,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2010,Arkansas,0.17300000000000001,0.055999999999999994,0.24100000000000002,0.53,"Arkansas
(34.748649999697875, -92.27448999971358)"
1997,Pennsylvania,0.2,0.042,0.22699999999999998,0.531,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2004,Arizona,0.135,0.051,0.245,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
2003,Ohio,0.195,0.057,0.23800000000000002,0.51,"Ohio
(40.06020999969189, -82.40426000019869)"
1999,Massachusetts,0.152,0.040999999999999995,0.258,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2007,Iowa,0.145,0.053,0.235,0.5670000000000001,"Iowa
(42.469390000048634, -93.81649000001335)"
2001,Wyoming,0.17300000000000001,0.049,0.26,0.519,"Wyoming
(43.23553999957147, -108.10982999975454)"
2004,Alaska,0.16399999999999998,0.085,0.24,0.512,"Alaska
(64.84507999974238, -147.72205999986895)"
2001,New York,0.166,0.066,0.23800000000000002,0.53,"New York
(42.82699999955048, -75.54396999981549)"
2009,New Mexico,0.11199999999999999,0.067,0.258,0.562,"New Mexico
(34.52088000011207, -106.24057999976702)"
1995,Rhode Island,0.213,0.035,0.292,0.46,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2007,Georgia,0.147,0.047,0.22699999999999998,0.579,"Georgia
(32.83967999993223, -83.62758000031658)"
2003,Virginia,0.172,0.048,0.24,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
2007,West Virginia,0.217,0.052000000000000005,0.245,0.486,"West Virginia
(38.66550999958696, -80.71263999973604)"
2005,Michigan,0.16699999999999998,0.054000000000000006,0.26,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
1999,Texas,0.15,0.075,0.233,0.5429999999999999,"Texas
(31.82724000022597, -99.42676999973554)"
1997,Alaska,0.223,0.042,0.247,0.488,"Alaska
(64.84507999974238, -147.72205999986895)"
2009,Louisiana,0.16399999999999998,0.057,0.23199999999999998,0.547,"Louisiana
(31.31265999975932, -92.44567999993188)"
2007,New York,0.128,0.061,0.255,0.556,"New York
(42.82699999955048, -75.54396999981549)"
2005,Indiana,0.20800000000000002,0.064,0.22899999999999998,0.498,"Indiana
(39.76690999989677, -86.14996000035359)"
2010,New Jersey,0.102,0.042,0.261,0.594,"New Jersey
(40.13056999960594, -74.2736899996936)"
1995,Delaware,0.23,0.023,0.258,0.489,"Delaware
(39.00883000020451, -75.57774000040052)"
2000,Michigan,0.191,0.05,0.254,0.504,"Michigan
(44.661320000317914, -84.71438999959867)"
1996,Minnesota,0.156,0.05,0.231,0.563,"Minnesota
(46.3556499998478, -94.79419999982997)"
2004,Iowa,0.163,0.046,0.214,0.578,"Iowa
(42.469390000048634, -93.81649000001335)"
2000,Kentucky,0.268,0.037000000000000005,0.23,0.465,"Kentucky
(37.645969999815804, -84.77496999996538)"
1996,Oregon,0.191,0.043,0.27699999999999997,0.489,"Oregon
(44.567449999917756, -120.15502999983448)"
1995,Alaska,0.223,0.026000000000000002,0.272,0.479,"Alaska
(64.84507999974238, -147.72205999986895)"
2007,Pennsylvania,0.151,0.057999999999999996,0.239,0.551,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2005,South Carolina,0.17,0.055,0.244,0.531,"South Carolina
(33.99855000018255, -81.0452500001872)"
1999,Vermont,0.16899999999999998,0.048,0.267,0.516,"Vermont
(43.625379999687425, -72.51764000028561)"
1999,New Mexico,0.16399999999999998,0.06,0.24600000000000002,0.529,"New Mexico
(34.52088000011207, -106.24057999976702)"
2004,Indiana,0.195,0.053,0.226,0.525,"Indiana
(39.76690999989677, -86.14996000035359)"
2009,Nebraska,0.129,0.038,0.24600000000000002,0.5870000000000001,"Nebraska
(41.6410400000961, -99.36572999973953)"
2005,Georgia,0.16399999999999998,0.057999999999999996,0.21899999999999997,0.56,"Georgia
(32.83967999993223, -83.62758000031658)"
2000,Louisiana,0.18600000000000003,0.055,0.195,0.565,"Louisiana
(31.31265999975932, -92.44567999993188)"
1995,Wisconsin,0.182,0.035,0.276,0.507,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2007,Hawaii,0.129,0.040999999999999995,0.26,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
2010,New York,0.105,0.05,0.268,0.578,"New York
(42.82699999955048, -75.54396999981549)"
1997,New Mexico,0.155,0.065,0.253,0.526,"New Mexico
(34.52088000011207, -106.24057999976702)"
2004,Florida,0.146,0.057,0.258,0.539,"Florida
(28.932039999846268, -81.9289599999039)"
1996,Maryland,0.179,0.03,0.23399999999999999,0.557,"Maryland
(39.29057999976732, -76.6092600004485)"
2007,Missouri,0.198,0.047,0.23399999999999999,0.521,"Missouri
(38.63578999960896, -92.5663000000448)"
2010,Arizona,0.107,0.044000000000000004,0.27899999999999997,0.5710000000000001,"Arizona
(34.86596999961597, -111.76380999973156)"
1998,Pennsylvania,0.19399999999999998,0.044000000000000004,0.22899999999999998,0.5329999999999999,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
1998,Texas,0.156,0.063,0.226,0.555,"Texas
(31.82724000022597, -99.42676999973554)"
1999,Wisconsin,0.179,0.057999999999999996,0.28600000000000003,0.47700000000000004,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1999,Montana,0.16,0.042,0.27699999999999997,0.521,"Montana
(47.06653000015956, -109.42441999998289)"
2006,Minnesota,0.138,0.045,0.276,0.541,"Minnesota
(46.3556499998478, -94.79419999982997)"
1995,Missouri,0.21899999999999997,0.022000000000000002,0.271,0.488,"Missouri
(38.63578999960896, -92.5663000000448)"
2009,Tennessee,0.17600000000000002,0.044000000000000004,0.247,0.5329999999999999,"Tennessee
(35.68094000038087, -85.77449000011325)"
1998,Maryland,0.16699999999999998,0.057,0.242,0.534,"Maryland
(39.29057999976732, -76.6092600004485)"
2001,Utah,0.091,0.040999999999999995,0.171,0.6970000000000001,"Utah
(39.36070000030492, -111.58712999994941)"
2002,South Carolina,0.21,0.055999999999999994,0.226,0.509,"South Carolina
(33.99855000018255, -81.0452500001872)"
2005,Maine,0.159,0.049,0.301,0.491,"Maine
(45.25423000041434, -68.9850299999344)"
1997,Georgia,0.17600000000000002,0.048,0.153,0.623,"Georgia
(32.83967999993223, -83.62758000031658)"
2005,New York,0.146,0.059000000000000004,0.256,0.54,"New York
(42.82699999955048, -75.54396999981549)"
2004,Massachusetts,0.13699999999999998,0.048,0.26899999999999996,0.546,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2010,Vermont,0.111,0.042,0.307,0.54,"Vermont
(43.625379999687425, -72.51764000028561)"
2008,North Carolina,0.155,0.054000000000000006,0.248,0.5429999999999999,"North Carolina
(35.46624999963797, -79.1593199999179)"
2008,Alabama,0.17300000000000001,0.049,0.21899999999999997,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
2006,North Dakota,0.156,0.039,0.24100000000000002,0.564,"North Dakota
(47.475320000018144, -100.11841999998285)"
2008,Mississippi,0.172,0.055,0.222,0.551,"Mississippi
(32.7455100000866, -89.53803000008429)"
2008,Utah,0.068,0.025,0.161,0.745,"Utah
(39.36070000030492, -111.58712999994941)"
2009,New Jersey,0.1,0.057999999999999996,0.254,0.588,"New Jersey
(40.13056999960594, -74.2736899996936)"
2006,Hawaii,0.13,0.046,0.251,0.573,"Hawaii
(21.304850000427336, -157.85774999956269)"
2009,Kansas,0.132,0.046,0.233,0.588,"Kansas
(38.34774000000118, -98.20077999969709)"
2007,Colorado,0.134,0.053,0.24600000000000002,0.5670000000000001,"Colorado
(38.842890000173554, -106.13314000041055)"
1998,Georgia,0.19699999999999998,0.039,0.21899999999999997,0.545,"Georgia
(32.83967999993223, -83.62758000031658)"
2009,Michigan,0.13699999999999998,0.059000000000000004,0.255,0.5489999999999999,"Michigan
(44.661320000317914, -84.71438999959867)"
2004,Delaware,0.188,0.055999999999999994,0.252,0.505,"Delaware
(39.00883000020451, -75.57774000040052)"
1999,Nebraska,0.182,0.05,0.221,0.547,"Nebraska
(41.6410400000961, -99.36572999973953)"
2008,Oklahoma,0.185,0.062,0.247,0.506,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2005,Delaware,0.155,0.052000000000000005,0.272,0.521,"Delaware
(39.00883000020451, -75.57774000040052)"
2008,South Dakota,0.12,0.055999999999999994,0.261,0.564,"South Dakota
(44.353130000049646, -100.37353000040906)"
1995,South Carolina,0.209,0.025,0.204,0.561,"South Carolina
(33.99855000018255, -81.0452500001872)"
1998,Massachusetts,0.166,0.043,0.28,0.511,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1998,Michigan,0.226,0.048,0.254,0.47200000000000003,"Michigan
(44.661320000317914, -84.71438999959867)"
2010,Alabama,0.156,0.063,0.239,0.542,"Alabama
(32.840569999605975, -86.63186000013877)"
2003,Missouri,0.231,0.040999999999999995,0.243,0.485,"Missouri
(38.63578999960896, -92.5663000000448)"
2002,Tennessee,0.22899999999999998,0.049,0.187,0.536,"Tennessee
(35.68094000038087, -85.77449000011325)"
2007,Indiana,0.182,0.059000000000000004,0.228,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
2007,Tennessee,0.2,0.043,0.24,0.518,"Tennessee
(35.68094000038087, -85.77449000011325)"
2007,Louisiana,0.16899999999999998,0.057,0.20199999999999999,0.5710000000000001,"Louisiana
(31.31265999975932, -92.44567999993188)"
2007,New Jersey,0.12,0.051,0.247,0.5820000000000001,"New Jersey
(40.13056999960594, -74.2736899996936)"
1997,New Hampshire,0.2,0.047,0.313,0.44,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2002,Vermont,0.16699999999999998,0.044000000000000004,0.32299999999999995,0.465,"Vermont
(43.625379999687425, -72.51764000028561)"
2009,Rhode Island,0.102,0.049,0.29600000000000004,0.5539999999999999,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1996,Florida,0.18100000000000002,0.037000000000000005,0.307,0.475,"Florida
(28.932039999846268, -81.9289599999039)"
1997,Louisiana,0.192,0.053,0.21899999999999997,0.536,"Louisiana
(31.31265999975932, -92.44567999993188)"
2009,Iowa,0.134,0.038,0.242,0.5870000000000001,"Iowa
(42.469390000048634, -93.81649000001335)"
2004,Montana,0.158,0.046,0.251,0.545,"Montana
(47.06653000015956, -109.42441999998289)"
1995,Connecticut,0.18600000000000003,0.02,0.28800000000000003,0.507,"Connecticut
(41.56265999995918, -72.6498400002157)"
2001,New Mexico,0.161,0.077,0.249,0.512,"New Mexico
(34.52088000011207, -106.24057999976702)"
2003,West Virginia,0.226,0.048,0.258,0.469,"West Virginia
(38.66550999958696, -80.71263999973604)"
2010,Idaho,0.113,0.044000000000000004,0.22899999999999998,0.615,"Idaho
(43.682590000228515, -114.36368000023168)"
2009,Texas,0.11699999999999999,0.062,0.21600000000000003,0.605,"Texas
(31.82724000022597, -99.42676999973554)"
2008,Arizona,0.107,0.052000000000000005,0.27399999999999997,0.5670000000000001,"Arizona
(34.86596999961597, -111.76380999973156)"
2000,Delaware,0.18600000000000003,0.042,0.239,0.532,"Delaware
(39.00883000020451, -75.57774000040052)"
2009,Washington,0.107,0.042,0.267,0.584,"Washington
(47.522280000022135, -120.47001000026114)"
2007,Maine,0.162,0.04,0.308,0.491,"Maine
(45.25423000041434, -68.9850299999344)"
2008,Connecticut,0.11599999999999999,0.043,0.301,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
2005,Vermont,0.14400000000000002,0.049,0.308,0.5,"Vermont
(43.625379999687425, -72.51764000028561)"
2006,New Hampshire,0.14300000000000002,0.044000000000000004,0.297,0.516,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2002,Arkansas,0.215,0.048,0.249,0.488,"Arkansas
(34.748649999697875, -92.27448999971358)"
2005,Tennessee,0.204,0.063,0.22,0.513,"Tennessee
(35.68094000038087, -85.77449000011325)"
2005,West Virginia,0.213,0.054000000000000006,0.243,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
2004,Tennessee,0.215,0.046,0.222,0.517,"Tennessee
(35.68094000038087, -85.77449000011325)"
2000,Texas,0.154,0.065,0.21899999999999997,0.562,"Texas
(31.82724000022597, -99.42676999973554)"
2008,Tennessee,0.18,0.051,0.218,0.55,"Tennessee
(35.68094000038087, -85.77449000011325)"
2006,South Carolina,0.165,0.057999999999999996,0.245,0.5329999999999999,"South Carolina
(33.99855000018255, -81.0452500001872)"
2000,Iowa,0.183,0.049,0.231,0.537,"Iowa
(42.469390000048634, -93.81649000001335)"
2006,Pennsylvania,0.166,0.049,0.255,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2005,Missouri,0.185,0.049,0.242,0.524,"Missouri
(38.63578999960896, -92.5663000000448)"
2009,Utah,0.069,0.028999999999999998,0.151,0.7509999999999999,"Utah
(39.36070000030492, -111.58712999994941)"
1999,Colorado,0.175,0.049,0.258,0.517,"Colorado
(38.842890000173554, -106.13314000041055)"
1999,New York,0.17,0.048,0.231,0.551,"New York
(42.82699999955048, -75.54396999981549)"
1997,Rhode Island,0.19699999999999998,0.046,0.267,0.49,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2004,Kentucky,0.23,0.045,0.204,0.521,"Kentucky
(37.645969999815804, -84.77496999996538)"
2000,Pennsylvania,0.193,0.051,0.245,0.511,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2006,Alaska,0.162,0.077,0.276,0.485,"Alaska
(64.84507999974238, -147.72205999986895)"
2010,Wisconsin,0.136,0.055,0.263,0.546,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1995,Ohio,0.23600000000000002,0.022000000000000002,0.24,0.502,"Ohio
(40.06020999969189, -82.40426000019869)"
2006,Texas,0.126,0.053,0.217,0.604,"Texas
(31.82724000022597, -99.42676999973554)"
2005,Rhode Island,0.153,0.044000000000000004,0.28800000000000003,0.514,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1997,New York,0.191,0.04,0.237,0.532,"New York
(42.82699999955048, -75.54396999981549)"
2000,Maine,0.207,0.031,0.299,0.46299999999999997,"Maine
(45.25423000041434, -68.9850299999344)"
2004,Maryland,0.146,0.05,0.23,0.575,"Maryland
(39.29057999976732, -76.6092600004485)"
2003,California,0.113,0.055,0.252,0.58,"California
(37.638300000444815, -120.99958999997835)"
2000,South Carolina,0.188,0.062,0.21899999999999997,0.532,"South Carolina
(33.99855000018255, -81.0452500001872)"
1997,Colorado,0.17,0.055,0.255,0.519,"Colorado
(38.842890000173554, -106.13314000041055)"
2010,Virginia,0.145,0.04,0.244,0.57,"Virginia
(37.54268000028196, -78.45789000012326)"
2005,Connecticut,0.124,0.040999999999999995,0.294,0.541,"Connecticut
(41.56265999995918, -72.6498400002157)"
2004,District of Columbia,0.125,0.084,0.192,0.599,"District of Columbia
(38.89036999987576, -77.03195999965413)"
1996,Connecticut,0.174,0.044000000000000004,0.282,0.5,"Connecticut
(41.56265999995918, -72.6498400002157)"
1996,Alaska,0.217,0.06,0.26,0.46299999999999997,"Alaska
(64.84507999974238, -147.72205999986895)"
2010,Michigan,0.135,0.054000000000000006,0.253,0.557,"Michigan
(44.661320000317914, -84.71438999959867)"
1999,Maryland,0.155,0.048,0.242,0.555,"Maryland
(39.29057999976732, -76.6092600004485)"
1995,Nevada,0.233,0.025,0.268,0.474,"Nevada
(39.49323999972637, -117.07183999971608)"
2003,Utah,0.086,0.033,0.166,0.715,"Utah
(39.36070000030492, -111.58712999994941)"
2005,Nevada,0.166,0.065,0.24,0.529,"Nevada
(39.49323999972637, -117.07183999971608)"
2006,Virginia,0.147,0.046,0.252,0.555,"Virginia
(37.54268000028196, -78.45789000012326)"
2005,North Carolina,0.171,0.055,0.23600000000000002,0.5379999999999999,"North Carolina
(35.46624999963797, -79.1593199999179)"
2008,Texas,0.11699999999999999,0.068,0.215,0.6,"Texas
(31.82724000022597, -99.42676999973554)"
2003,Indiana,0.21100000000000002,0.05,0.244,0.495,"Indiana
(39.76690999989677, -86.14996000035359)"
1997,Wyoming,0.195,0.045,0.254,0.506,"Wyoming
(43.23553999957147, -108.10982999975454)"
2001,Maryland,0.153,0.057999999999999996,0.247,0.542,"Maryland
(39.29057999976732, -76.6092600004485)"
1998,Florida,0.18,0.04,0.261,0.519,"Florida
(28.932039999846268, -81.9289599999039)"
2008,Alaska,0.151,0.064,0.284,0.5,"Alaska
(64.84507999974238, -147.72205999986895)"
1996,Alabama,0.17600000000000002,0.048,0.215,0.561,"Alabama
(32.840569999605975, -86.63186000013877)"
