GeoType,Geography,Label,Lower CL,Percent,Program,RSE,SubPop Group,Subpop,TimePeriod,Upper CL,Years
Accountable Communities Of Health,King,Ate marijuana in the past 30 days (among current users),27,32.2,Marijuana,8.3,King,Accountable Communities Of Health,1-year,37.5,2016
Accountable Communities Of Health,King,Ate marijuana in the past 30 days (among current users),23.4,28.7,Marijuana,9.5,King,Accountable Communities Of Health,1-year,34,2017
Accountable Communities Of Health,North Central,Ate marijuana in the past 30 days (among current users),,,Marijuana,32.9,North Central,Accountable Communities Of Health,1-year,,2015
Accountable Communities Of Health,North Central,Ate marijuana in the past 30 days (among current users),,,Marijuana,37.1,North Central,Accountable Communities Of Health,1-year,,2016
Accountable Communities Of Health,North Central,Ate marijuana in the past 30 days (among current users),12.4,26.7,Marijuana,27.3,North Central,Accountable Communities Of Health,1-year,40.9,2017
Accountable Communities Of Health,North Sound,Ate marijuana in the past 30 days (among current users),19.7,26.7,Marijuana,13.4,North Sound,Accountable Communities Of Health,1-year,33.7,2015
Accountable Communities Of Health,North Sound,Ate marijuana in the past 30 days (among current users),19,25.8,Marijuana,13.5,North Sound,Accountable Communities Of Health,1-year,32.7,2016
Accountable Communities Of Health,North Sound,Ate marijuana in the past 30 days (among current users),20.7,27.1,Marijuana,12,North Sound,Accountable Communities Of Health,1-year,33.5,2017
Accountable Communities Of Health,Olympic,Ate marijuana in the past 30 days (among current users),12.8,24.9,Marijuana,24.9,Olympic,Accountable Communities Of Health,1-year,37,2015
Accountable Communities Of Health,Olympic,Ate marijuana in the past 30 days (among current users),13.3,25.7,Marijuana,24.7,Olympic,Accountable Communities Of Health,1-year,38.2,2016
Accountable Communities Of Health,Olympic,Ate marijuana in the past 30 days (among current users),22.8,35.1,Marijuana,17.9,Olympic,Accountable Communities Of Health,1-year,47.3,2017
Accountable Communities Of Health,Pierce,Ate marijuana in the past 30 days (among current users),15.2,25.2,Marijuana,20.3,Pierce,Accountable Communities Of Health,1-year,35.2,2015
Accountable Communities Of Health,Pierce,Ate marijuana in the past 30 days (among current users),27.5,37.4,Marijuana,13.5,Pierce,Accountable Communities Of Health,1-year,47.3,2016
Accountable Communities Of Health,Pierce,Ate marijuana in the past 30 days (among current users),14.4,24.1,Marijuana,20.6,Pierce,Accountable Communities Of Health,1-year,33.9,2017
Accountable Communities Of Health,SW WA Regional Health Alliance,Ate marijuana in the past 30 days (among current users),14.9,27,Marijuana,22.8,SW WA Regional Health Alliance,Accountable Communities Of Health,1-year,39,2015
Accountable Communities Of Health,SW WA Regional Health Alliance,Ate marijuana in the past 30 days (among current users),16.4,29.4,Marijuana,22.6,SW WA Regional Health Alliance,Accountable Communities Of Health,1-year,42.4,2016
Accountable Communities Of Health,SW WA Regional Health Alliance,Ate marijuana in the past 30 days (among current users),14.7,26,Marijuana,22.2,SW WA Regional Health Alliance,Accountable Communities Of Health,1-year,37.3,2017
State,State,Ate marijuana in the past 30 days (among current users),21.8,29.7,Marijuana,13.5,Age 18 to 24,Age,1-year,37.5,2015
State,State,Ate marijuana in the past 30 days (among current users),22,28.8,Marijuana,12,Age 25 to 34,Age,1-year,35.5,2015
State,State,Ate marijuana in the past 30 days (among current users),18.3,26.8,Marijuana,16.2,Age 35 to 44,Age,1-year,35.3,2015
State,State,Ate marijuana in the past 30 days (among current users),19.9,27.2,Marijuana,13.7,Age 45 to 54,Age,1-year,34.5,2015
State,State,Ate marijuana in the past 30 days (among current users),18.5,24,Marijuana,11.7,Age 55 to 64,Age,1-year,29.6,2015
State,State,Ate marijuana in the past 30 days (among current users),13.2,20.8,Marijuana,18.8,Age 65 or older,Age,1-year,28.4,2015
State,State,Ate marijuana in the past 30 days (among current users),26.3,34.7,Marijuana,12.3,Age 18 to 24,Age,1-year,43.1,2016
State,State,Ate marijuana in the past 30 days (among current users),24.7,31.1,Marijuana,10.6,Age 25 to 34,Age,1-year,37.6,2016
State,State,Ate marijuana in the past 30 days (among current users),19.8,27.3,Marijuana,14,Age 35 to 44,Age,1-year,34.8,2016
State,State,Ate marijuana in the past 30 days (among current users),18,24.5,Marijuana,13.5,Age 45 to 54,Age,1-year,31,2016
State,State,Ate marijuana in the past 30 days (among current users),22,27.5,Marijuana,10.2,Age 55 to 64,Age,1-year,33,2016
State,State,Ate marijuana in the past 30 days (among current users),27.7,35.4,Marijuana,11.1,Age 65 or older,Age,1-year,43.1,2016
State,State,Ate marijuana in the past 30 days (among current users),16.9,24.4,Marijuana,15.7,Age 18 to 24,Age,1-year,31.9,2017
State,State,Ate marijuana in the past 30 days (among current users),24.9,31.8,Marijuana,11,Age 25 to 34,Age,1-year,38.6,2017
State,State,Ate marijuana in the past 30 days (among current users),19.2,25.4,Marijuana,12.5,Age 35 to 44,Age,1-year,31.7,2017
State,State,Ate marijuana in the past 30 days (among current users),23.8,31.3,Marijuana,12.3,Age 45 to 54,Age,1-year,38.8,2017
State,State,Ate marijuana in the past 30 days (among current users),22.1,28.2,Marijuana,11,Age 55 to 64,Age,1-year,34.3,2017
State,State,Ate marijuana in the past 30 days (among current users),20.2,27,Marijuana,12.8,Age 65 or older,Age,1-year,33.7,2017
State,State,Ate marijuana in the past 30 days (among current users),21.4,27.7,Marijuana,11.6,"$35,000 to $74,999",Annual Household Income (V1),1-year,34,2015
State,State,Ate marijuana in the past 30 days (among current users),23.4,29.4,Marijuana,10.4,"$75,000 or more",Annual Household Income (V1),1-year,35.4,2015
State,State,Ate marijuana in the past 30 days (among current users),21.2,26.5,Marijuana,10,"Less than $35,000",Annual Household Income (V1),1-year,31.7,2015
State,State,Ate marijuana in the past 30 days (among current users),21.4,26.7,Marijuana,10.3,"$35,000 to $74,999",Annual Household Income (V1),1-year,32.1,2016
State,State,Ate marijuana in the past 30 days (among current users),29.2,35,Marijuana,8.5,"$75,000 or more",Annual Household Income (V1),1-year,40.8,2016
State,State,Ate marijuana in the past 30 days (among current users),22.6,28.4,Marijuana,10.4,"Less than $35,000",Annual Household Income (V1),1-year,34.2,2016
State,State,Ate marijuana in the past 30 days (among current users),21.8,27.4,Marijuana,10.4,"$35,000 to $74,999",Annual Household Income (V1),1-year,33,2017
State,State,Ate marijuana in the past 30 days (among current users),26.4,31.8,Marijuana,8.5,"$75,000 or more",Annual Household Income (V1),1-year,37.1,2017
State,State,Ate marijuana in the past 30 days (among current users),18.4,23.5,Marijuana,11,"Less than $35,000",Annual Household Income (V1),1-year,28.6,2017
State,State,Ate marijuana in the past 30 days (among current users),18.7,25.3,Marijuana,13.3,"$25,000 to <$50,000",Annual Household Income (V2),1-year,31.8,2015
State,State,Ate marijuana in the past 30 days (among current users),21.9,30.7,Marijuana,14.5,"$50,000 to <$75,000",Annual Household Income (V2),1-year,39.4,2015
State,State,Ate marijuana in the past 30 days (among current users),23.4,29.4,Marijuana,10.4,"$75,000+",Annual Household Income (V2),1-year,35.4,2015
State,State,Ate marijuana in the past 30 days (among current users),20.4,26.6,Marijuana,11.9,"Less than $25,000",Annual Household Income (V2),1-year,32.8,2015
State,State,Ate marijuana in the past 30 days (among current users),21.1,27.4,Marijuana,11.7,"$25,000 to <$50,000",Annual Household Income (V2),1-year,33.7,2016
State,State,Ate marijuana in the past 30 days (among current users),20.1,27.7,Marijuana,14,"$50,000 to <$75,000",Annual Household Income (V2),1-year,35.3,2016
State,State,Ate marijuana in the past 30 days (among current users),29.2,35,Marijuana,8.5,"$75,000+",Annual Household Income (V2),1-year,40.8,2016
State,State,Ate marijuana in the past 30 days (among current users),21,27.9,Marijuana,12.6,"Less than $25,000",Annual Household Income (V2),1-year,34.8,2016
State,State,Ate marijuana in the past 30 days (among current users),21,27.2,Marijuana,11.8,"$25,000 to <$50,000",Annual Household Income (V2),1-year,33.5,2017
State,State,Ate marijuana in the past 30 days (among current users),19.2,27.3,Marijuana,15.1,"$50,000 to <$75,000",Annual Household Income (V2),1-year,35.3,2017
State,State,Ate marijuana in the past 30 days (among current users),26.4,31.8,Marijuana,8.5,"$75,000+",Annual Household Income (V2),1-year,37.1,2017
State,State,Ate marijuana in the past 30 days (among current users),16.8,22.5,Marijuana,13,"Less than $25,000",Annual Household Income (V2),1-year,28.3,2017
State,State,Ate marijuana in the past 30 days (among current users),23.3,27.1,Marijuana,7.1,Does not have arthritis,Arthritis Status,1-year,30.9,2015
State,State,Ate marijuana in the past 30 days (among current users),22.3,27.9,Marijuana,10.2,Has arthritis,Arthritis Status,1-year,33.5,2015
State,State,Ate marijuana in the past 30 days (among current users),25.6,29.3,Marijuana,6.4,Does not have arthritis,Arthritis Status,1-year,33,2016
State,State,Ate marijuana in the past 30 days (among current users),27.2,32.8,Marijuana,8.7,Has arthritis,Arthritis Status,1-year,38.4,2016
State,State,Ate marijuana in the past 30 days (among current users),22.3,25.8,Marijuana,6.8,Does not have arthritis,Arthritis Status,1-year,29.2,2017
State,State,Ate marijuana in the past 30 days (among current users),28.8,34.5,Marijuana,8.3,Has arthritis,Arthritis Status,1-year,40.1,2017
State,State,Ate marijuana in the past 30 days (among current users),28.5,39.1,Marijuana,13.8,Currently has asthma,Asthma Status,1-year,49.6,2015
State,State,Ate marijuana in the past 30 days (among current users),22.3,25.5,Marijuana,6.5,Does not currently have asthma,Asthma Status,1-year,28.7,2015
State,State,Ate marijuana in the past 30 days (among current users),18.6,26.4,Marijuana,15,Currently has asthma,Asthma Status,1-year,34.2,2016
State,State,Ate marijuana in the past 30 days (among current users),27.6,30.9,Marijuana,5.6,Does not currently have asthma,Asthma Status,1-year,34.3,2016
State,State,Ate marijuana in the past 30 days (among current users),21.6,28.9,Marijuana,12.9,Currently has asthma,Asthma Status,1-year,36.3,2017
State,State,Ate marijuana in the past 30 days (among current users),24.5,27.6,Marijuana,5.9,Does not currently have asthma,Asthma Status,1-year,30.8,2017
State,State,Ate marijuana in the past 30 days (among current users),22.5,27.5,Marijuana,9.4,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,32.6,2015
State,State,Ate marijuana in the past 30 days (among current users),22.8,26.8,Marijuana,7.7,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,30.8,2015
State,State,Ate marijuana in the past 30 days (among current users),27.7,32.8,Marijuana,7.9,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,37.9,2016
State,State,Ate marijuana in the past 30 days (among current users),24.8,28.7,Marijuana,7,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,32.7,2016
State,State,Ate marijuana in the past 30 days (among current users),25.6,31.1,Marijuana,9,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,36.6,2017
State,State,Ate marijuana in the past 30 days (among current users),23.5,27,Marijuana,6.5,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,30.4,2017
State,State,Ate marijuana in the past 30 days (among current users),21.8,27.8,Marijuana,11.1,Children in household,Children In Household,1-year,33.9,2015
State,State,Ate marijuana in the past 30 days (among current users),23.3,26.9,Marijuana,6.9,No children in household,Children In Household,1-year,30.6,2015
State,State,Ate marijuana in the past 30 days (among current users),19.8,26.2,Marijuana,12.4,Children in household,Children In Household,1-year,32.6,2016
State,State,Ate marijuana in the past 30 days (among current users),28.1,31.6,Marijuana,5.7,No children in household,Children In Household,1-year,35.2,2016
State,State,Ate marijuana in the past 30 days (among current users),23.1,28.7,Marijuana,10,Children in household,Children In Household,1-year,34.4,2017
State,State,Ate marijuana in the past 30 days (among current users),24.3,27.7,Marijuana,6.2,No children in household,Children In Household,1-year,31.1,2017
County,Adams,Ate marijuana in the past 30 days (among current users),,,Marijuana,,Adams,County,1-year,,2015
County,Adams,Ate marijuana in the past 30 days (among current users),68.7,89.5,Marijuana,11.8,Adams,County,1-year,100,2016
County,Adams,Ate marijuana in the past 30 days (among current users),,,Marijuana,93.8,Adams,County,1-year,,2017
County,Asotin,Ate marijuana in the past 30 days (among current users),,,Marijuana,58.4,Asotin,County,1-year,,2015
County,Asotin,Ate marijuana in the past 30 days (among current users),,,Marijuana,48.7,Asotin,County,1-year,,2016
County,Asotin,Ate marijuana in the past 30 days (among current users),,,Marijuana,57.3,Asotin,County,1-year,,2017
County,Benton,Ate marijuana in the past 30 days (among current users),19.3,45.9,Marijuana,29.5,Benton,County,1-year,72.4,2015
County,Benton,Ate marijuana in the past 30 days (among current users),,,Marijuana,55.1,Benton,County,1-year,,2016
County,Benton,Ate marijuana in the past 30 days (among current users),,,Marijuana,41.9,Benton,County,1-year,,2017
County,Chelan,Ate marijuana in the past 30 days (among current users),,,Marijuana,49.3,Chelan,County,1-year,,2015
County,Chelan,Ate marijuana in the past 30 days (among current users),,,Marijuana,44,Chelan,County,1-year,,2016
County,Chelan,Ate marijuana in the past 30 days (among current users),,,Marijuana,37.5,Chelan,County,1-year,,2017
County,Clallam,Ate marijuana in the past 30 days (among current users),,,Marijuana,42.6,Clallam,County,1-year,,2015
County,Clallam,Ate marijuana in the past 30 days (among current users),,,Marijuana,47,Clallam,County,1-year,,2016
County,Clallam,Ate marijuana in the past 30 days (among current users),16.2,36.8,Marijuana,28.6,Clallam,County,1-year,57.4,2017
County,Clark,Ate marijuana in the past 30 days (among current users),13.9,26.7,Marijuana,24.6,Clark,County,1-year,39.6,2015
County,Clark,Ate marijuana in the past 30 days (among current users),15.2,29.5,Marijuana,24.6,Clark,County,1-year,43.7,2016
County,Clark,Ate marijuana in the past 30 days (among current users),14.1,26.3,Marijuana,23.7,Clark,County,1-year,38.5,2017
County,Columbia,Ate marijuana in the past 30 days (among current users),,,Marijuana,70.9,Columbia,County,1-year,,2015
County,Columbia,Ate marijuana in the past 30 days (among current users),,,Marijuana,38.9,Columbia,County,1-year,,2016
County,Columbia,Ate marijuana in the past 30 days (among current users),,,Marijuana,85.3,Columbia,County,1-year,,2017
County,Cowlitz,Ate marijuana in the past 30 days (among current users),,,Marijuana,36.1,Cowlitz,County,1-year,,2015
County,Cowlitz,Ate marijuana in the past 30 days (among current users),,,Marijuana,53.8,Cowlitz,County,1-year,,2016
County,Cowlitz,Ate marijuana in the past 30 days (among current users),,,Marijuana,45.6,Cowlitz,County,1-year,,2017
County,Douglas,Ate marijuana in the past 30 days (among current users),,,Marijuana,79.8,Douglas,County,1-year,,2015
County,Douglas,Ate marijuana in the past 30 days (among current users),,,Marijuana,104,Douglas,County,1-year,,2016
County,Douglas,Ate marijuana in the past 30 days (among current users),,,Marijuana,65.6,Douglas,County,1-year,,2017
County,Ferry,Ate marijuana in the past 30 days (among current users),,,Marijuana,,Ferry,County,1-year,,2015
County,Ferry,Ate marijuana in the past 30 days (among current users),,,Marijuana,74.1,Ferry,County,1-year,,2016
County,Ferry,Ate marijuana in the past 30 days (among current users),,,Marijuana,,Ferry,County,1-year,,2017
County,Franklin,Ate marijuana in the past 30 days (among current users),,,Marijuana,,Franklin,County,1-year,,2015
County,Franklin,Ate marijuana in the past 30 days (among current users),,,Marijuana,37.2,Franklin,County,1-year,,2016
County,Franklin,Ate marijuana in the past 30 days (among current users),,,Marijuana,83.8,Franklin,County,1-year,,2017
County,Garfield,Ate marijuana in the past 30 days (among current users),,,Marijuana,,Garfield,County,1-year,,2015
County,Garfield,Ate marijuana in the past 30 days (among current users),,,Marijuana,118.5,Garfield,County,1-year,,2016
County,Garfield,Ate marijuana in the past 30 days (among current users),,,Marijuana,46.3,Garfield,County,1-year,,2017
County,Grant,Ate marijuana in the past 30 days (among current users),,,Marijuana,77.2,Grant,County,1-year,,2015
County,Grant,Ate marijuana in the past 30 days (among current users),,,Marijuana,81.4,Grant,County,1-year,,2016
County,Grant,Ate marijuana in the past 30 days (among current users),,,Marijuana,42.3,Grant,County,1-year,,2017
County,Grays Harbor,Ate marijuana in the past 30 days (among current users),,,Marijuana,40,Grays Harbor,County,1-year,,2015
County,Grays Harbor,Ate marijuana in the past 30 days (among current users),,,Marijuana,55,Grays Harbor,County,1-year,,2016
County,Grays Harbor,Ate marijuana in the past 30 days (among current users),,,Marijuana,35,Grays Harbor,County,1-year,,2017
County,Island,Ate marijuana in the past 30 days (among current users),,,Marijuana,45.1,Island,County,1-year,,2015
County,Island,Ate marijuana in the past 30 days (among current users),,,Marijuana,43,Island,County,1-year,,2016
County,Island,Ate marijuana in the past 30 days (among current users),25.3,57.9,Marijuana,28.7,Island,County,1-year,90.5,2017
County,Jefferson,Ate marijuana in the past 30 days (among current users),,,Marijuana,56.5,Jefferson,County,1-year,,2015
County,Jefferson,Ate marijuana in the past 30 days (among current users),,,Marijuana,40.8,Jefferson,County,1-year,,2016
County,Jefferson,Ate marijuana in the past 30 days (among current users),,,Marijuana,44.5,Jefferson,County,1-year,,2017
County,King,Ate marijuana in the past 30 days (among current users),22.1,27.7,Marijuana,10.3,King,County,1-year,33.3,2015
County,King,Ate marijuana in the past 30 days (among current users),27,32.2,Marijuana,8.3,King,County,1-year,37.5,2016
County,King,Ate marijuana in the past 30 days (among current users),23.4,28.7,Marijuana,9.5,King,County,1-year,34,2017
County,Kitsap,Ate marijuana in the past 30 days (among current users),,,Marijuana,33.3,Kitsap,County,1-year,,2015
County,Kitsap,Ate marijuana in the past 30 days (among current users),,,Marijuana,30.8,Kitsap,County,1-year,,2016
County,Kitsap,Ate marijuana in the past 30 days (among current users),17.3,34.5,Marijuana,25.5,Kitsap,County,1-year,51.8,2017
County,Kittitas,Ate marijuana in the past 30 days (among current users),,,Marijuana,100.3,Kittitas,County,1-year,,2015
County,Kittitas,Ate marijuana in the past 30 days (among current users),,,Marijuana,44.8,Kittitas,County,1-year,,2016
County,Kittitas,Ate marijuana in the past 30 days (among current users),,,Marijuana,48.6,Kittitas,County,1-year,,2017
County,Klickitat,Ate marijuana in the past 30 days (among current users),,,Marijuana,64.8,Klickitat,County,1-year,,2015
County,Klickitat,Ate marijuana in the past 30 days (among current users),,,Marijuana,32.4,Klickitat,County,1-year,,2016
County,Klickitat,Ate marijuana in the past 30 days (among current users),,,Marijuana,41.5,Klickitat,County,1-year,,2017
County,Lewis,Ate marijuana in the past 30 days (among current users),,,Marijuana,55.1,Lewis,County,1-year,,2015
County,Lewis,Ate marijuana in the past 30 days (among current users),18.8,45.7,Marijuana,30,Lewis,County,1-year,72.5,2016
County,Lewis,Ate marijuana in the past 30 days (among current users),,,Marijuana,32,Lewis,County,1-year,,2017
County,Lincoln,Ate marijuana in the past 30 days (among current users),52.3,84.6,Marijuana,19.5,Lincoln,County,1-year,100,2015
County,Lincoln,Ate marijuana in the past 30 days (among current users),,,Marijuana,44.4,Lincoln,County,1-year,,2016
County,Lincoln,Ate marijuana in the past 30 days (among current users),,,Marijuana,36,Lincoln,County,1-year,,2017
County,Mason,Ate marijuana in the past 30 days (among current users),,,Marijuana,42,Mason,County,1-year,,2015
County,Mason,Ate marijuana in the past 30 days (among current users),,,Marijuana,48.1,Mason,County,1-year,,2016
County,Mason,Ate marijuana in the past 30 days (among current users),13.9,31.2,Marijuana,28.3,Mason,County,1-year,48.5,2017
County,Okanogan,Ate marijuana in the past 30 days (among current users),,,Marijuana,41.8,Okanogan,County,1-year,,2015
County,Okanogan,Ate marijuana in the past 30 days (among current users),,,Marijuana,64.7,Okanogan,County,1-year,,2016
County,Okanogan,Ate marijuana in the past 30 days (among current users),,,Marijuana,62.3,Okanogan,County,1-year,,2017
County,Pacific,Ate marijuana in the past 30 days (among current users),,,Marijuana,76.1,Pacific,County,1-year,,2015
County,Pacific,Ate marijuana in the past 30 days (among current users),,,Marijuana,42,Pacific,County,1-year,,2016
County,Pacific,Ate marijuana in the past 30 days (among current users),,,Marijuana,80.2,Pacific,County,1-year,,2017
County,Pend Oreille,Ate marijuana in the past 30 days (among current users),,,Marijuana,58.6,Pend Oreille,County,1-year,,2015
County,Pend Oreille,Ate marijuana in the past 30 days (among current users),,,Marijuana,73.2,Pend Oreille,County,1-year,,2016
County,Pend Oreille,Ate marijuana in the past 30 days (among current users),,,Marijuana,82.3,Pend Oreille,County,1-year,,2017
County,Pierce,Ate marijuana in the past 30 days (among current users),15.2,25.2,Marijuana,20.3,Pierce,County,1-year,35.2,2015
County,Pierce,Ate marijuana in the past 30 days (among current users),27.5,37.4,Marijuana,13.5,Pierce,County,1-year,47.3,2016
County,Pierce,Ate marijuana in the past 30 days (among current users),14.4,24.1,Marijuana,20.6,Pierce,County,1-year,33.9,2017
County,San Juan,Ate marijuana in the past 30 days (among current users),,,Marijuana,51.1,San Juan,County,1-year,,2015
County,San Juan,Ate marijuana in the past 30 days (among current users),,,Marijuana,58.5,San Juan,County,1-year,,2016
County,San Juan,Ate marijuana in the past 30 days (among current users),,,Marijuana,50.1,San Juan,County,1-year,,2017
County,Skagit,Ate marijuana in the past 30 days (among current users),,,Marijuana,53.8,Skagit,County,1-year,,2015
County,Skagit,Ate marijuana in the past 30 days (among current users),,,Marijuana,54.8,Skagit,County,1-year,,2016
County,Skagit,Ate marijuana in the past 30 days (among current users),,,Marijuana,40.5,Skagit,County,1-year,,2017
County,Skamania,Ate marijuana in the past 30 days (among current users),,,Marijuana,61.9,Skamania,County,1-year,,2015
County,Skamania,Ate marijuana in the past 30 days (among current users),,,Marijuana,78.8,Skamania,County,1-year,,2016
County,Skamania,Ate marijuana in the past 30 days (among current users),,,Marijuana,68.4,Skamania,County,1-year,,2017
County,Snohomish,Ate marijuana in the past 30 days (among current users),19.3,28.4,Marijuana,16.3,Snohomish,County,1-year,37.5,2015
County,Snohomish,Ate marijuana in the past 30 days (among current users),17.4,26.6,Marijuana,17.7,Snohomish,County,1-year,35.8,2016
County,Snohomish,Ate marijuana in the past 30 days (among current users),17.8,25.5,Marijuana,15.4,Snohomish,County,1-year,33.2,2017
County,Spokane,Ate marijuana in the past 30 days (among current users),15.7,27.6,Marijuana,22,Spokane,County,1-year,39.5,2015
County,Spokane,Ate marijuana in the past 30 days (among current users),17.5,29.3,Marijuana,20.5,Spokane,County,1-year,41,2016
County,Spokane,Ate marijuana in the past 30 days (among current users),20.2,33.1,Marijuana,19.9,Spokane,County,1-year,46,2017
County,Stevens,Ate marijuana in the past 30 days (among current users),,,Marijuana,105,Stevens,County,1-year,,2015
County,Stevens,Ate marijuana in the past 30 days (among current users),,,Marijuana,49.9,Stevens,County,1-year,,2016
County,Stevens,Ate marijuana in the past 30 days (among current users),28.5,56.5,Marijuana,25.2,Stevens,County,1-year,84.5,2017
County,Thurston,Ate marijuana in the past 30 days (among current users),13.9,29.5,Marijuana,27,Thurston,County,1-year,45.1,2015
County,Thurston,Ate marijuana in the past 30 days (among current users),19,33.3,Marijuana,21.9,Thurston,County,1-year,47.7,2016
County,Thurston,Ate marijuana in the past 30 days (among current users),12.3,26.2,Marijuana,27,Thurston,County,1-year,40.1,2017
County,Wahkiakum,Ate marijuana in the past 30 days (among current users),,,Marijuana,60.1,Wahkiakum,County,1-year,,2015
County,Wahkiakum,Ate marijuana in the past 30 days (among current users),,,Marijuana,77.7,Wahkiakum,County,1-year,,2016
County,Wahkiakum,Ate marijuana in the past 30 days (among current users),,,Marijuana,57.8,Wahkiakum,County,1-year,,2017
County,Walla Walla,Ate marijuana in the past 30 days (among current users),,,Marijuana,88.4,Walla Walla,County,1-year,,2015
County,Walla Walla,Ate marijuana in the past 30 days (among current users),,,Marijuana,82.7,Walla Walla,County,1-year,,2016
County,Walla Walla,Ate marijuana in the past 30 days (among current users),,,Marijuana,70.9,Walla Walla,County,1-year,,2017
County,Whatcom,Ate marijuana in the past 30 days (among current users),,,Marijuana,33.1,Whatcom,County,1-year,,2015
County,Whatcom,Ate marijuana in the past 30 days (among current users),13.2,28.1,Marijuana,27.1,Whatcom,County,1-year,42.9,2016
County,Whatcom,Ate marijuana in the past 30 days (among current users),11.3,23.3,Marijuana,26.3,Whatcom,County,1-year,35.3,2017
County,Whitman,Ate marijuana in the past 30 days (among current users),,,Marijuana,51,Whitman,County,1-year,,2015
County,Whitman,Ate marijuana in the past 30 days (among current users),,,Marijuana,53.5,Whitman,County,1-year,,2016
County,Whitman,Ate marijuana in the past 30 days (among current users),,,Marijuana,49.5,Whitman,County,1-year,,2017
County,Yakima,Ate marijuana in the past 30 days (among current users),,,Marijuana,40.6,Yakima,County,1-year,,2015
County,Yakima,Ate marijuana in the past 30 days (among current users),,,Marijuana,55.8,Yakima,County,1-year,,2016
County,Yakima,Ate marijuana in the past 30 days (among current users),,,Marijuana,46.3,Yakima,County,1-year,,2017
State,State,Ate marijuana in the past 30 days (among current users),17.8,22.9,Marijuana,11.4,Current smoker,Current Cigarette Smoking,1-year,28.1,2015
State,State,Ate marijuana in the past 30 days (among current users),25.5,29.4,Marijuana,6.8,Never or former smoker,Current Cigarette Smoking,1-year,33.3,2015
State,State,Ate marijuana in the past 30 days (among current users),20.3,25.3,Marijuana,10.1,Current smoker,Current Cigarette Smoking,1-year,30.4,2016
State,State,Ate marijuana in the past 30 days (among current users),28.9,32.8,Marijuana,6,Never or former smoker,Current Cigarette Smoking,1-year,36.7,2016
State,State,Ate marijuana in the past 30 days (among current users),15.9,20.8,Marijuana,11.9,Current smoker,Current Cigarette Smoking,1-year,25.6,2017
State,State,Ate marijuana in the past 30 days (among current users),27.4,31,Marijuana,5.9,Never or former smoker,Current Cigarette Smoking,1-year,34.6,2017
State,State,Ate marijuana in the past 30 days (among current users),25.2,30.5,Marijuana,8.9,Living with a disability,Disability Status,1-year,35.7,2015
State,State,Ate marijuana in the past 30 days (among current users),21.6,25.5,Marijuana,7.8,Not living with a disability,Disability Status,1-year,29.4,2015
State,State,Ate marijuana in the past 30 days (among current users),25.8,31,Marijuana,8.5,Living with a disability,Disability Status,1-year,36.2,2016
State,State,Ate marijuana in the past 30 days (among current users),25.6,29.4,Marijuana,6.6,Not living with a disability,Disability Status,1-year,33.2,2016
State,State,Ate marijuana in the past 30 days (among current users),21.4,26.3,Marijuana,9.7,Living with a disability,Disability Status (Rev 2017),1-year,31.3,2017
State,State,Ate marijuana in the past 30 days (among current users),25.6,29.2,Marijuana,6.3,Not living with a disability,Disability Status (Rev 2017),1-year,32.9,2017
